Date,Open ,High ,Low ,Close ,Prev. Close,SMA_20,EMA_20,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,BB_Upper,BB_Lower
16-02-2017,14.2125,14.2125,11.4375,13.73,13.4325,13.383875,13.30410844,41.37,13.5106116,13.1425988,0.368012797,0.421572568,14.76940689,11.99834311
15-02-2017,13.8025,14.46,11.7275,14.2125,13.73,13.501875,13.39062192,38.64,13.61859443,13.22185074,0.396743688,0.416606792,14.73147472,12.27227528
14-02-2017,13.6925,14.01,12.0975,13.8025,14.2125,13.5965,13.4298484,52.24,13.64688759,13.2648618,0.382025796,0.409690592,14.57617019,12.61682981
13-02-2017,13.1775,13.76,11.57,13.6925,13.8025,13.66,13.45486284,48.9,13.65390489,13.2965387,0.357366186,0.399225711,14.46904427,12.85095573
10-02-2017,13.235,13.3325,11.37,13.1775,13.6925,13.698875,13.42844733,50.83,13.58061183,13.28772102,0.292890808,0.37795873,14.30134464,13.09640536
09-02-2017,13.35,13.78,11.395,13.235,13.1775,13.66275,13.41002378,47.42,13.52744078,13.28381576,0.243625018,0.351091988,14.28620367,13.03929633
08-02-2017,13.5075,13.7575,11.435,13.35,13.235,13.61075,13.40430723,48.14,13.5001422,13.2887183,0.211423901,0.32315837,14.14605881,13.07544119
07-02-2017,13.3975,13.7225,12.24,13.5075,13.35,13.582375,13.41413511,46.63,13.50127417,13.30492435,0.196349818,0.29779666,14.07230914,13.09244086
06-02-2017,13.1275,13.6125,11.06,13.3975,13.5075,13.5585,13.41255081,45.65,13.48530891,13.3117818,0.173527106,0.272942749,14.0347391,13.0822609
03-02-2017,13.52,13.595,11.7825,13.1275,13.3975,13.532875,13.38540312,45.75,13.43026138,13.2981313,0.132130086,0.244780217,14.04448823,13.02126177
02-02-2017,13.97,13.97,12.64,13.52,13.1275,13.54125,13.39822187,45.82,13.44406733,13.31456602,0.129501308,0.221724435,14.04586684,13.03663316
01-02-2017,16.825,17.4275,13.8025,13.97,13.52,13.571625,13.45267693,47.32,13.52498004,13.36311668,0.161863362,0.20975222,14.10334583,13.03990417
31-01-2017,16.67,17.09,15.7125,16.825,13.97,13.734125,13.77385055,56.13,14.03267542,13.61955248,0.413122938,0.250426364,15.28326846,12.18498154
30-01-2017,16.005,16.8575,15.3925,16.67,16.825,13.878,14.04967431,75.12,14.43841767,13.84551156,0.592906106,0.318922312,15.90939672,11.84660328
27-01-2017,15.17,16.125,14.93,16.005,16.67,13.9945,14.2358958,75.38,14.67943033,14.00547367,0.673956666,0.389929183,16.23351741,11.75548259
25-01-2017,15.285,15.425,14.41,15.17,16.005,14.083,14.32485811,66.86,14.75490259,14.09173488,0.663167712,0.444576889,16.36263155,11.80336845
24-01-2017,15.905,15.96,14.3875,15.285,15.17,14.16225,14.41630019,56.75,14.83645604,14.18012489,0.656331151,0.486927741,16.49539442,11.82910558
23-01-2017,15.79,16.3725,15.5025,15.905,15.285,14.28125,14.55808113,60.9,15.00084742,14.30789341,0.692954003,0.528132994,16.71802067,11.84447933
20-01-2017,15.02,15.8675,13.8525,15.79,15.905,14.39025,14.67540673,65.13,15.12225551,14.41767909,0.70457642,0.563421679,16.89468496,11.88581504
19-01-2017,15.1825,15.2775,14.035,15.02,15.79,14.469625,14.70822514,68.9,15.10652389,14.46229545,0.64422844,0.579583031,16.94672925,11.99252075
18-01-2017,15.3925,15.3925,13.6125,15.1825,15.02,14.54225,14.75339418,61.7,15.11821252,14.51564393,0.602568587,0.584180142,17.0132129,12.0712871
17-01-2017,15.065,15.62,13.98,15.3925,15.1825,14.60125,14.8142614,61.94,15.1604106,14.58059624,0.579814359,0.583306986,17.09530372,12.10719628
16-01-2017,14.3825,15.25,13.425,15.065,15.3925,14.664375,14.83814126,62.2,15.14573204,14.616478,0.529254046,0.572496398,17.13712378,12.19162622
